Tempo,Tntc1 medio,Tntc1,Tntc2 medio,Tntc2
174.41,30.01,30.08,30.06,30.18
175.49,30.00,29.99,30.05,30.18
176.58,30.00,29.90,30.05,30.08
177.66,29.99,29.99,30.05,30.18
178.75,30.00,29.90,30.05,29.99
179.83,30.01,29.90,30.05,30.08
180.91,30.01,29.99,30.04,29.99
182.00,30.00,29.99,30.04,29.99
183.08,30.01,30.18,30.04,30.08
184.17,30.01,29.99,30.03,29.90
185.25,30.00,30.08,30.05,29.90
186.34,30.00,29.90,30.05,29.99
187.42,30.01,29.81,30.04,30.08
188.51,30.01,30.08,30.05,30.08
189.59,30.01,29.99,30.05,29.99
190.67,30.00,30.18,30.05,30.08
191.76,30.00,30.08,30.05,30.08
192.84,30.02,30.08,30.04,30.08
193.93,30.01,30.08,30.05,29.90
195.01,29.99,29.99,30.05,29.81
196.10,29.99,29.99,30.04,30.08
197.18,29.98,29.90,30.05,30.18
198.26,30.00,29.71,30.05,30.08
199.35,29.99,30.08,30.04,30.08
200.43,30.00,29.90,30.05,30.27
201.52,30.00,30.08,30.05,30.08
202.60,29.99,29.90,30.05,29.99
203.69,30.02,29.99,30.03,29.90
204.77,29.98,29.90,30.06,30.08
205.85,29.98,30.08,30.06,29.99
206.94,30.00,30.08,30.04,29.99
208.02,30.00,30.18,30.07,29.81
209.11,30.01,29.99,30.03,30.08
210.19,30.00,30.18,30.04,29.90
211.28,29.99,30.08,30.05,29.99
212.36,29.99,29.99,30.04,29.90
213.45,30.00,29.90,30.04,30.08
214.53,30.01,29.81,30.05,30.27
215.61,30.01,29.99,30.05,30.08
216.70,30.00,29.99,30.05,29.99
217.78,29.99,29.99,30.04,29.99
218.87,29.99,30.08,30.04,29.99
219.95,30.01,29.99,30.04,30.18
221.04,29.99,30.18,30.04,29.99
222.12,30.00,30.18,30.05,29.81
223.21,30.01,30.08,30.04,29.99
224.29,30.01,30.08,30.06,30.08
225.37,29.99,29.99,30.05,30.08
226.46,30.00,29.90,30.04,30.08
227.54,30.00,29.99,30.04,29.90
228.63,29.98,29.99,30.05,30.08
229.71,30.00,29.90,30.05,30.18
230.80,30.00,30.08,30.06,30.08
231.88,30.01,30.08,30.03,30.08
232.96,29.98,29.99,30.05,29.90
234.05,29.98,29.99,30.07,29.90
235.13,29.99,30.08,30.04,29.99
236.22,29.99,29.99,30.05,30.08
237.30,30.00,29.81,30.04,29.90
238.39,29.99,29.90,30.04,29.99
239.47,29.99,29.81,30.04,30.18
240.55,29.99,29.90,30.05,30.08
241.64,29.99,29.99,30.05,30.08
242.72,30.00,30.27,30.03,29.99
243.81,29.99,30.18,30.06,29.90
244.89,29.99,29.99,30.04,30.08
245.98,29.99,29.99,30.05,30.18
247.06,30.03,30.08,30.05,29.90
248.15,30.00,30.18,30.05,29.99
249.23,29.99,30.18,30.04,30.08
250.31,30.01,29.99,30.06,30.08
251.40,29.99,29.99,30.06,29.99
252.48,29.99,29.81,30.05,30.18
253.57,30.02,29.99,30.04,29.99
254.65,30.00,29.81,30.05,30.08
255.74,30.00,29.99,30.05,30.08
256.82,30.01,30.08,30.06,30.18
257.90,30.00,30.08,30.05,29.90
258.99,29.99,30.08,30.06,30.08
260.07,30.00,30.08,30.07,30.18
261.16,30.01,29.81,30.05,29.99
262.24,30.02,30.08,30.05,29.99
263.33,29.99,30.18,30.05,29.99
